
beat  bar.beat  sounding (low->high)
   0.0    1.1.0  D1 D2
   0.5    1.1.5  D1 D2 A2
   1.0    1.2.0  D1 D2 A2
   1.5    1.2.5  D1 D2 A2
   2.0    1.3.0  D1 D2 A2 A3
   2.5    1.3.5  D1 D2 A2 D3 A3 D4
   3.0    1.4.0  D1 D2 A2 D3 A3 D4
   3.5    1.4.5  D1 D2 A2 D3 A3 D4
   4.0    2.1.0  D1 D2 A2 D3 A3 D4 F4
   4.5    2.1.5  D1 D2 A2 D3 A3 D4 F4
   5.0    2.2.0  D1 D2 A2 D3 A3 D4 F4 A4
   5.5    2.2.5  D1 D2 A2 D3 A3 D4 F4 A4
   6.0    2.3.0  D1 D2 A2 D3 A3 D4 F4 D5
   6.5    2.3.5  D1 D2 A2 A3 D4 F4 D5
   7.0    2.4.0  D1 D2 A2 A3 D4 F4 D5
   7.5    2.4.5  D1 D2 A2 A3 D4 F4 D5
   8.0    3.1.0  D1 Bb1 D2 A2 A3 Bb3 D4 F4 D5
   8.5    3.1.5  D1 Bb1 D2 F2 A2 D3 Bb3 D4 F4 D5
   9.0    3.2.0  D1 Bb1 D2 F2 A2 D3 Bb3 D4 F4 C5
   9.5    3.2.5  D1 Bb1 D2 F2 A2 D3 Bb3 D4 F4 Bb4
  10.0    3.3.0  D1 Bb1 D2 F2 A2 D3 Bb3 D4 F4 D5
  10.5    3.3.5  D1 Bb1 D2 F2 A2 D3 Bb3 D4 F4 D5
  11.0    3.4.0  D1 Bb1 D2 F2 A2 D3 Bb3 D4 F4 D5
  11.5    3.4.5  D1 Bb1 D2 F2 A2 D3 Bb3 D4 F4 D5
  12.0    4.1.0  D1 D2 F2 A2 D3 A3 Bb3 C4 D4 F4 D5
  12.5    4.1.5  D1 D2 A2 A3 C4 F4 G4 D5
  13.0    4.2.0  D1 D2 A2 A3 C4 F4 A4 D5
  13.5    4.2.5  D1 D2 A2 A3 C4 F4 A4 D5
  14.0    4.3.0  D1 D2 F2 A2 A3 C4 F4 C5 D5
  14.5    4.3.5  D1 D2 F2 A2 C3 A3 C4 F4 C5 D5
  15.0    4.4.0  D1 D2 F2 A2 C3 A3 C4 F4 A4 D5
  15.5    4.4.5  D1 D2 F2 A2 C3 A3 C4 F4 A4 D5
  16.0    5.1.0  D1 D2 F2 A2 C3 G3 A3 C4 E4 F4 G4 D5 D6
  16.5    5.1.5  D1 D2 F2 A2 C3 G3 A3 C4 E4 G4 G5 D6
  17.0    5.2.0  D1 D2 F2 A2 C3 G3 A3 C4 E4 G4 D6
  17.5    5.2.5  D1 D2 F2 A2 C3 G3 A3 C4 E4 F4 C6
  18.0    5.3.0  D1 D2 A2 C3 G3 A3 C4 E4 E5 D6
  18.5    5.3.5  D1 D2 A2 G3 C4 E4 C6 D6
  19.0    5.4.0  D1 D2 A2 G3 C4 E4 G5
  19.5    5.4.5  D1 D2 A2 G3 C4 E4 D5 D6
  20.0    6.1.0  D1 D2 A2 G3 A3 C4 D4 E4 F4 A4 D5 E5 D6
  20.5    6.1.5  D1 D2 A2 A3 D4 F4 A4 E5 A5 D6
  21.0    6.2.0  D1 D2 A2 A3 D4 F4 A4 E5 E6
  21.5    6.2.5  D1 D2 A2 A3 D4 F4 A4 E5 F5
  22.0    6.3.0  D1 D2 A3 Bb3 D4 F4 A4 D5 E5 F5 C6 D6
  22.5    6.3.5  D1 D2 Bb3 F4 D5 F5 C6 D6
  23.0    6.4.0  D1 D2 Bb3 F4 D5 F5 C6 D6
  23.5    6.4.5  D1 D2 Bb3 F4 D5 F5 C6 D6 E6
  24.0    7.1.0  D2 Bb2 F3 Bb3 C4 D4 E4 A4 D5 E5 E6
